ISBN,Title,Author,Year,Publisher,stemmed_title,lemmatized_title,Title_stem,Author_stem,Publisher_stem,Year_stem
0471153672,The Data Model Resource Book: A Library of Logical Data and Data Warehouse Models,Len Silverston,1997,John Wiley & Sons (Sd),the data model resourc book : a librari of logic data and data warehous model,the data model resourc book : a librari of logic data and data warehous model,: of and,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
0517575019,Dazzle,Judith Krantz,1990,Random House Inc,dazzl,dazzl,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0373036345,"Sheikh'S Reward (Romance, 3634)",Lucy Gordon,2000,Harlequin,"sheikh 's reward ( romanc , 3634 )","sheikh 's reward ( romanc , 3634 )","( , 3634 )",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
037325749X,"Night Rhythms  (Blaze) (Harlequin Temptation, No 749)",Elda Minger,1997,Harlequin,"night rhythm ( blaze ) ( harlequin temptat , no 749 )","night rhythm ( blaze ) ( harlequin temptat , no 749 )","( ) ( , 749 )",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
0373193475,"Family By The Bunch  (Family Matters) (Silhouette Romance, 1347)",Amy Frazier,1998,Silhouette,"famili by the bunch ( famili matter ) ( silhouett romanc , 1347 )","famili by the bunch ( famili matter ) ( silhouett romanc , 1347 )","( ) ( , 1347 )",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
0689853017,Genius 101 : Exploring My World,Kent Redeker,2003,Simon Spotlight/Nickelodeon,geniu 101 : explor my world,geniu 101 : explor my world,101 :,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
0752534971,100 Questions and Answers: Dinosaurs (100 Questions and Answers Series),Abnett,0,Parragon Publishing,100 question and answer : dinosaur ( 100 question and answer seri ),100 question and answer : dinosaur ( 100 question and answer seri ),100 and : ( 100 and ),,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0896939383,Healing for Damaged Emotions (Personal Growth Bookshelf),David A. Seamands,1981,Chariot Victor Publishing,heal for damag emot ( person growth bookshelf ),heal for damag emot ( person growth bookshelf ),for ( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0751512168,Almost the Truth,Margaret Yorke,1995,Little Brown and Company,almost the truth,almost the truth,the,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0140554556,Big Cat Dreaming,Margaret Wild,0,Penguin Books Australia Ltd,big cat dream,big cat dream,,,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0747232687,The Philosophy Gym,Stephen Law,2003,Headline,the philosophi gym,the philosophi gym,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
2226109706,A bas les Ã?Â©lÃ?Â¨ves!,Philippe Milner,1999,Albin Michel,a ba le ã ? â©lã ? â¨ve !,a ba le ã ? â©lã ? â¨ve !,? ? !,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
019271886X,Shopaholic,Judy Waite,2001,Oxford University Press,shopahol,shopahol,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
0911797254,Expedition Yellowstone,Sandra Chisholm Robinson,2003,Roberts Rinehart Publishers,expedit yellowston,expedit yellowston,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
0307100936,Walt Disney's Pinocchio (Golden Super Shape Book),Walt Disney,1988,Random House Childrens Books,walt disney 's pinocchio ( golden super shape book ),walt disney 's pinocchio ( golden super shape book ),'s ( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0786867434,Girl in the Mirror: Mothers and Daughters in the Years of Adolescence,Nancy L. Snyderman,2002,Hyperion,girl in the mirror : mother and daughter in the year of adolesc,girl in the mirror : mother and daughter in the year of adolesc,in the : and in the of,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
0786123907,Protector: Library Edition,Larry Niven,2003,Blackstone Audiobooks,protector : librari edit,protector : librari edit,:,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
0060008865,Do No Harm,Gregg Hurwitz,2002,William Morrow,do no harm,do no harm,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
0340172207,Asterix and Cleopatra,R. Goscinny,1979,Hambleton Hill Publishing,asterix and cleopatra,asterix and cleopatra,and,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0385065493,Alnilam,James Dickey,1987,Doubleday Books,alnilam,alnilam,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0373704755,"Nightshades And Orchids (Harlequin Superromance, No. 475)",Kelly Walsh,1991,Harlequin,"nightshad and orchid ( harlequin superrom , no . 475 )","nightshad and orchid ( harlequin superrom , no . 475 )","( , . 475 )",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0446357812,God's Pocket,Pete Dexter,1989,Warner Books,god 's pocket,god 's pocket,'s,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0609608738,"Justice: Crimes, Trials, and Punishments",Dominick Dunne,2001,Crown Publishing Group (NY),"justic : crime , trial , and punish","justic : crime , trial , and punish",": , , and",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
0679603298,The Life and Writings of Abraham Lincoln (Modern Library),ABRAHAM LINCOLN,1999,Modern Library,the life and write of abraham lincoln ( modern librari ),the life and write of abraham lincoln ( modern librari ),and of ( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
0373035101,"Mail - Order Mother (Romance , No 3510)",Kate Denton,1998,Harlequin,"mail - order mother ( romanc , no 3510 )","mail - order mother ( romanc , no 3510 )","- ( , 3510 )",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
0590014838,"Scholastic Dictionary of Synonyms, Antonyms and Homonyms",Scholastic Staff,1989,Scholastic Paperbacks (Mm),"scholast dictionari of synonym , antonym and homonym","scholast dictionari of synonym , antonym and homonym","of , and",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0138137676,Simon & Schuster Handbook for Writers,Lynn Quitman Troyka,1992,Prentice Hall,simon & schuster handbook for writer,simon & schuster handbook for writer,& for,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1585730068,Insight Guide Belize (Insight Guides),Hum Hennessy,2000,Insight Guides,insight guid beliz ( insight guid ),insight guid beliz ( insight guid ),( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
0804103364,"Road Trip (Sugar and Spice, No 18)",Janet Quin-Harkin,1989,Ivy Books,"road trip ( sugar and spice , no 18 )","road trip ( sugar and spice , no 18 )","( and , 18 )",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0786816643,"Myth-O-Mania: Have a Hot Time, Hades! - Book #1 (Myth-O-Mania)",Kate McMullan,2002,Volo,"myth-o-mania : have a hot time , hade ! - book # 1 ( myth-o-mania )","myth-o-mania : have a hot time , hade ! - book # 1 ( myth-o-mania )",": a , ! - # 1 ( )",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
0451191722,Talking to Heaven: A Medium's Message of Life After Death,James Van Praagh,1999,Signet Book,talk to heaven : a medium 's messag of life after death,talk to heaven : a medium 's messag of life after death,to : 's of,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
0711921393,Madonna: In Her Own Words,Mick St. Michael,1991,Music Sales Corp,madonna : in her own word,madonna : in her own word,:,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0740733044,"Never A Dry Moment (Baby Blues Scrapbook, Book 17)",Rick Kirkman,2003,Andrews McMeel Publishing,"never a dri moment ( babi blue scrapbook , book 17 )","never a dri moment ( babi blue scrapbook , book 17 )","( , 17 )",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
0849942675,The Devil's Mouth - A Novel -,T. M. Williams,2001,W Publishing Group,the devil 's mouth - a novel -,the devil 's mouth - a novel -,'s - -,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
0899682839,The Time Machine,H. G. Wells,1994,Buccaneer Books Inc,the time machin,the time machin,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0451205804,Hazard,Jo Beverley,2002,Signet Book,hazard,hazard,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
0060928972,"Emotional Blackmail: When the People in Your Life Use Fear, Obligation, and Guilt to Manipulate You",Susan Forward,1998,Perennial Currents,"emot blackmail : when the peopl in your life use fear , oblig , and guilt to manipul you","emot blackmail : when the peopl in your life use fear , oblig , and guilt to manipul you",": the in , , and to",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
0743464931,Big Iron (Golden Spike Trilogy),Jake Lancer,2004,Pocket Star,big iron ( golden spike trilog ),big iron ( golden spike trilog ),( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
1898125333,Wings 2: the Mig Lover (Wings),Charles Anthony,1995,Bloomsbury Publishing Plc,wing 2 : the mig lover ( wing ),wing 2 : the mig lover ( wing ),2 : the ( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0140491864,Pets in a Jar: Collecting and Caring for Small Wild Animals (Puffin Science Books),Seymour Simon,1979,Puffin Books,pet in a jar : collect and care for small wild anim ( puffin scienc book ),pet in a jar : collect and care for small wild anim ( puffin scienc book ),in a : and for ( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0679423435,An Inconvenient Woman (Price-Less Audio),Dominick Dunne,1993,Random House,an inconveni woman ( price-less audio ),an inconveni woman ( price-less audio ),( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0399148949,Mortal Prey,John Sandford,2002,Putnam Adult,mortal prey,mortal prey,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
